id_commande,date,client_id,produit,categorie,quantite,prix_unitaire,entrepot
C202606130001,2026-06-13,CL0131,Console jeux,Electronique,4,245.38,Entrepot Sud
C202606130002,2026-06-13,CL0347,Livre,Culture,4,14.23,Entrepot Sud
C202606130003,2026-06-13,CL0345,Casque audio,Electronique,1,91.82,Entrepot Nord
C202606130004,2026-06-13,CL0390,Chaise bureau,Mobilier,1,144.53,Entrepot Nord
C202606130005,2026-06-13,CL0120,Livre,Culture,4,24.29,Entrepot Sud
C202606130006,2026-06-13,CL0210,Plante verte,Maison,1,38.82,Entrepot Nord
C202606130007,2026-06-13,CL0377,Plante verte,Maison,2,37.2,Entrepot Nord
C202606130008,2026-06-13,CL0066,Chaise bureau,Mobilier,4,186.03,Entrepot Sud
C202606130009,2026-06-13,CL0262,Livre,Culture,2,22.94,Entrepot Nord
C202606130010,2026-06-13,CL0241,Livre,Culture,4,18.47,Entrepot Sud
C202606130011,2026-06-13,CL0183,Console jeux,Electronique,4,435.59,Entrepot Sud
C202606130012,2026-06-13,CL0355,Chaise bureau,Mobilier,4,119.75,Entrepot Est
C202606130013,2026-06-13,CL0323,Casque audio,Electronique,2,74.55,Entrepot Nord
C202606130014,2026-06-13,CL0361,Chaise bureau,Mobilier,5,182.0,Entrepot Sud
C202606130015,2026-06-13,CL0333,Console jeux,Electronique,2,292.3,Entrepot Est
C202606130016,2026-06-13,CL0341,Chaise bureau,Mobilier,2,216.1,Entrepot Sud
C202606130017,2026-06-13,CL0274,Console jeux,Electronique,1,249.58,Entrepot Nord
C202606130018,2026-06-13,CL0003,Plante verte,Maison,5,19.63,Entrepot Nord
C202606130019,2026-06-13,CL0118,Livre,Culture,1,19.83,Entrepot Nord
C202606130020,2026-06-13,CL0122,Livre,Culture,3,23.31,Entrepot Sud
C202606130021,2026-06-13,CL0102,Casque audio,Electronique,1,53.57,Entrepot Est
C202606130022,2026-06-13,CL0164,Livre,Culture,4,13.7,Entrepot Sud
C202606130023,2026-06-13,CL0171,Chaise bureau,Mobilier,4,202.03,Entrepot Est
C202606130024,2026-06-13,CL0033,Casque audio,Electronique,1,64.8,Entrepot Nord
C202606130025,2026-06-13,CL0374,Console jeux,Electronique,1,374.16,Entrepot Nord
C202606130026,2026-06-13,CL0310,Chaise bureau,Mobilier,3,155.33,Entrepot Nord
C202606130027,2026-06-13,CL0217,Console jeux,Electronique,1,387.82,Entrepot Est
C202606130028,2026-06-13,CL0037,Plante verte,Maison,3,32.08,Entrepot Nord
C202606130029,2026-06-13,CL0363,Plante verte,Maison,1,13.84,Entrepot Nord
C202606130030,2026-06-13,CL0048,Plante verte,Maison,4,34.16,Entrepot Nord
C202606130031,2026-06-13,CL0299,Plante verte,Maison,5,24.19,Entrepot Nord
C202606130032,2026-06-13,CL0385,Livre,Culture,1,22.28,Entrepot Nord
C202606130033,2026-06-13,CL0371,Chaise bureau,Mobilier,5,140.46,Entrepot Sud
C202606130034,2026-06-13,CL0263,Casque audio,Electronique,1,62.16,Entrepot Nord
C202606130035,2026-06-13,CL0315,Chaise bureau,Mobilier,2,181.56,Entrepot Sud
C202606130036,2026-06-13,CL0340,Livre,Culture,2,11.48,Entrepot Nord
C202606130037,2026-06-13,CL0395,Chaise bureau,Mobilier,2,89.9,Entrepot Nord
C202606130038,2026-06-13,CL0157,Chaise bureau,Mobilier,3,135.34,Entrepot Sud
C202606130039,2026-06-13,CL0167,Casque audio,Electronique,5,68.66,Entrepot Nord
C202606130040,2026-06-13,CL0126,Console jeux,Electronique,2,237.81,Entrepot Est
C202606130041,2026-06-13,CL0260,Plante verte,Maison,1,17.54,Entrepot Nord
C202606130042,2026-06-13,CL0160,Console jeux,Electronique,3,371.44,Entrepot Nord
C202606130043,2026-06-13,CL0224,Casque audio,Electronique,1,94.42,Entrepot Sud
C202606130044,2026-06-13,CL0114,Plante verte,Maison,1,19.07,Entrepot Sud
C202606130045,2026-06-13,CL0215,Plante verte,Maison,3,35.86,Entrepot Est
C202606130046,2026-06-13,CL0162,Chaise bureau,Mobilier,5,144.9,Entrepot Est
C202606130047,2026-06-13,CL0327,Console jeux,Electronique,1,226.24,Entrepot Nord
C202606130048,2026-06-13,CL0286,Chaise bureau,Mobilier,2,67.1,Entrepot Est
C202606130049,2026-06-13,CL0154,Livre,Culture,1,15.92,Entrepot Sud
C202606130050,2026-06-13,CL0202,Casque audio,Electronique,3,77.8,Entrepot Nord
C202606130051,2026-06-13,CL0344,Casque audio,Electronique,1,47.39,Entrepot Est
C202606130052,2026-06-13,CL0084,Livre,Culture,5,9.81,Entrepot Nord
C202606130053,2026-06-13,CL0089,Console jeux,Electronique,5,408.27,Entrepot Nord
C202606130054,2026-06-13,CL0125,Plante verte,Maison,4,31.82,Entrepot Nord
C202606130055,2026-06-13,CL0380,Plante verte,Maison,5,15.28,Entrepot Nord
C202606130056,2026-06-13,CL0148,Plante verte,Maison,4,18.34,Entrepot Nord
C202606130057,2026-06-13,CL0067,Plante verte,Maison,4,32.05,Entrepot Sud
C202606130058,2026-06-13,CL0174,Livre,Culture,4,9.82,Entrepot Est
C202606130059,2026-06-13,CL0357,Livre,Culture,1,12.34,Entrepot Nord
C202606130060,2026-06-13,CL0382,Livre,Culture,5,13.46,Entrepot Nord
C202606130061,2026-06-13,CL0001,Chaise bureau,Mobilier,2,185.33,Entrepot Nord
C202606130062,2026-06-13,CL0131,Livre,Culture,5,13.84,Entrepot Sud
C202606130063,2026-06-13,CL0168,Console jeux,Electronique,1,424.85,Entrepot Est
C202606130064,2026-06-13,CL0188,Livre,Culture,3,21.92,Entrepot Nord
C202606130065,2026-06-13,CL0146,Chaise bureau,Mobilier,3,177.39,Entrepot Nord
C202606130066,2026-06-13,CL0388,Casque audio,Electronique,2,45.94,Entrepot Sud
C202606130067,2026-06-13,CL0027,Console jeux,Electronique,2,404.24,Entrepot Sud
C202606130068,2026-06-13,CL0336,Livre,Culture,2,21.82,Entrepot Nord
C202606130069,2026-06-13,CL0123,Chaise bureau,Mobilier,4,143.03,Entrepot Nord
C202606130070,2026-06-13,CL0089,Console jeux,Electronique,3,367.72,Entrepot Nord
C202606130071,2026-06-13,CL0347,Chaise bureau,Mobilier,2,222.86,Entrepot Est
C202606130072,2026-06-13,CL0234,Console jeux,Electronique,1,398.4,Entrepot Est
C202606130073,2026-06-13,CL0110,Chaise bureau,Mobilier,4,208.75,Entrepot Sud
C202606130074,2026-06-13,CL0168,Chaise bureau,Mobilier,3,107.38,Entrepot Nord
C202606130075,2026-06-13,CL0035,Casque audio,Electronique,1,62.03,Entrepot Nord
C202606130076,2026-06-13,CL0206,Plante verte,Maison,1,17.56,Entrepot Nord
C202606130077,2026-06-13,CL0324,Chaise bureau,Mobilier,4,241.27,Entrepot Nord
C202606130078,2026-06-13,CL0160,Console jeux,Electronique,4,279.63,Entrepot Nord
C202606130079,2026-06-13,CL0266,Chaise bureau,Mobilier,5,233.76,Entrepot Sud
C202606130080,2026-06-13,CL0341,Casque audio,Electronique,4,78.46,Entrepot Nord
C202606130081,2026-06-13,CL0338,Livre,Culture,2,11.54,Entrepot Sud
C202606130082,2026-06-13,CL0222,Casque audio,Electronique,5,47.62,Entrepot Sud
C202606130083,2026-06-13,CL0269,Casque audio,Electronique,2,77.2,Entrepot Nord
C202606130084,2026-06-13,CL0114,Chaise bureau,Mobilier,5,209.89,Entrepot Nord
C202606130085,2026-06-13,CL0378,Console jeux,Electronique,1,254.75,Entrepot Est
C202606130086,2026-06-13,CL0214,Plante verte,Maison,2,22.66,Entrepot Sud
C202606130087,2026-06-13,CL0375,Livre,Culture,3,13.13,Entrepot Nord
C202606130088,2026-06-13,CL0343,Livre,Culture,4,17.3,Entrepot Sud
C202606130089,2026-06-13,CL0288,Livre,Culture,5,24.26,Entrepot Est
C202606130090,2026-06-13,CL0389,Livre,Culture,2,8.3,Entrepot Sud
C202606130091,2026-06-13,CL0107,Casque audio,Electronique,5,72.13,Entrepot Est
C202606130092,2026-06-13,CL0366,Console jeux,Electronique,1,425.34,Entrepot Est
C202606130093,2026-06-13,CL0110,Livre,Culture,5,15.86,Entrepot Nord
C202606130094,2026-06-13,CL0218,Livre,Culture,2,18.73,Entrepot Est
C202606130095,2026-06-13,CL0120,Livre,Culture,5,19.69,Entrepot Sud
C202606130096,2026-06-13,CL0048,Plante verte,Maison,2,26.37,Entrepot Nord
C202606130097,2026-06-13,CL0122,Casque audio,Electronique,3,112.74,Entrepot Nord
C202606130098,2026-06-13,CL0119,Console jeux,Electronique,3,258.02,Entrepot Est
C202606130099,2026-06-13,CL0300,Console jeux,Electronique,2,426.03,Entrepot Nord
C202606130100,2026-06-13,CL0140,Casque audio,Electronique,4,98.41,Entrepot Sud
C202606130101,2026-06-13,CL0227,Plante verte,Maison,5,13.47,Entrepot Est
C202606130102,2026-06-13,CL0213,Casque audio,Electronique,1,112.33,Entrepot Sud
C202606130103,2026-06-13,CL0279,Livre,Culture,3,15.82,Entrepot Sud
C202606130104,2026-06-13,CL0102,Chaise bureau,Mobilier,4,205.65,Entrepot Nord
C202606130105,2026-06-13,CL0224,Livre,Culture,2,22.78,Entrepot Nord
C202606130106,2026-06-13,CL0044,Chaise bureau,Mobilier,3,90.77,Entrepot Nord
C202606130107,2026-06-13,CL0152,Livre,Culture,2,18.03,Entrepot Nord
C202606130108,2026-06-13,CL0304,Livre,Culture,4,16.16,Entrepot Nord
C202606130109,2026-06-13,CL0102,Plante verte,Maison,4,38.45,Entrepot Nord
C202606130110,2026-06-13,CL0120,Plante verte,Maison,5,26.25,Entrepot Sud
