id_commande,date,client_id,produit,categorie,quantite,prix_unitaire,entrepot
C202606120001,2026-06-12,CL0275,Chaise bureau,Mobilier,2,135.02,Entrepot Nord
C202606120002,2026-06-12,CL0110,Casque audio,Electronique,3,88.71,Entrepot Est
C202606120003,2026-06-12,CL0047,Casque audio,Electronique,1,77.52,Entrepot Nord
C202606120004,2026-06-12,CL0115,Console jeux,Electronique,4,214.78,Entrepot Sud
C202606120005,2026-06-12,CL0114,Console jeux,Electronique,1,344.28,Entrepot Nord
C202606120006,2026-06-12,CL0074,Casque audio,Electronique,5,109.39,Entrepot Nord
C202606120007,2026-06-12,CL0350,Console jeux,Electronique,1,342.73,Entrepot Sud
C202606120008,2026-06-12,CL0191,Livre,Culture,1,17.89,Entrepot Sud
C202606120009,2026-06-12,CL0317,Casque audio,Electronique,5,98.41,Entrepot Sud
C202606120010,2026-06-12,CL0161,Livre,Culture,4,19.57,Entrepot Nord
C202606120011,2026-06-12,CL0128,Plante verte,Maison,5,37.86,Entrepot Nord
C202606120012,2026-06-12,CL0254,Livre,Culture,2,9.39,Entrepot Nord
C202606120013,2026-06-12,CL0061,Chaise bureau,Mobilier,4,114.71,Entrepot Est
C202606120014,2026-06-12,CL0251,Console jeux,Electronique,4,241.24,Entrepot Nord
C202606120015,2026-06-12,CL0286,Plante verte,Maison,1,38.94,Entrepot Nord
C202606120016,2026-06-12,CL0255,Console jeux,Electronique,3,285.03,Entrepot Nord
C202606120017,2026-06-12,CL0139,Console jeux,Electronique,4,217.19,Entrepot Nord
C202606120018,2026-06-12,CL0332,Plante verte,Maison,1,13.7,Entrepot Sud
C202606120019,2026-06-12,CL0343,Console jeux,Electronique,4,271.15,Entrepot Nord
C202606120020,2026-06-12,CL0313,Chaise bureau,Mobilier,1,238.72,Entrepot Nord
C202606120021,2026-06-12,CL0067,Casque audio,Electronique,4,49.42,Entrepot Sud
C202606120022,2026-06-12,CL0042,Livre,Culture,4,14.65,Entrepot Est
C202606120023,2026-06-12,CL0071,Livre,Culture,4,14.83,Entrepot Nord
C202606120024,2026-06-12,CL0184,Plante verte,Maison,5,19.8,Entrepot Nord
C202606120025,2026-06-12,CL0119,Plante verte,Maison,2,16.23,Entrepot Nord
C202606120026,2026-06-12,CL0135,Livre,Culture,1,16.24,Entrepot Sud
C202606120027,2026-06-12,CL0313,Chaise bureau,Mobilier,1,87.68,Entrepot Sud
C202606120028,2026-06-12,CL0264,Console jeux,Electronique,3,438.27,Entrepot Sud
C202606120029,2026-06-12,CL0349,Console jeux,Electronique,1,314.16,Entrepot Est
C202606120030,2026-06-12,CL0247,Console jeux,Electronique,4,299.52,Entrepot Nord
C202606120031,2026-06-12,CL0226,Plante verte,Maison,1,17.34,Entrepot Est
C202606120032,2026-06-12,CL0001,Livre,Culture,1,13.78,Entrepot Nord
C202606120033,2026-06-12,CL0315,Console jeux,Electronique,2,334.15,Entrepot Est
C202606120034,2026-06-12,CL0077,Casque audio,Electronique,1,110.57,Entrepot Sud
C202606120035,2026-06-12,CL0060,Chaise bureau,Mobilier,3,174.43,Entrepot Nord
C202606120036,2026-06-12,CL0074,Plante verte,Maison,4,25.45,Entrepot Nord
C202606120037,2026-06-12,CL0355,Casque audio,Electronique,3,100.53,Entrepot Nord
C202606120038,2026-06-12,CL0271,Livre,Culture,5,8.39,Entrepot Est
C202606120039,2026-06-12,CL0389,Chaise bureau,Mobilier,2,191.11,Entrepot Est
C202606120040,2026-06-12,CL0357,Console jeux,Electronique,3,444.63,Entrepot Est
C202606120041,2026-06-12,CL0396,Chaise bureau,Mobilier,5,129.67,Entrepot Nord
C202606120042,2026-06-12,CL0326,Livre,Culture,5,17.21,Entrepot Sud
C202606120043,2026-06-12,CL0100,Livre,Culture,5,21.8,Entrepot Est
C202606120044,2026-06-12,CL0266,Livre,Culture,4,20.58,Entrepot Nord
C202606120045,2026-06-12,CL0144,Plante verte,Maison,3,32.47,Entrepot Est
C202606120046,2026-06-12,CL0177,Plante verte,Maison,3,17.42,Entrepot Sud
C202606120047,2026-06-12,CL0113,Plante verte,Maison,3,38.74,Entrepot Nord
C202606120048,2026-06-12,CL0248,Casque audio,Electronique,2,80.26,Entrepot Nord
C202606120049,2026-06-12,CL0335,Console jeux,Electronique,5,410.11,Entrepot Nord
C202606120050,2026-06-12,CL0199,Chaise bureau,Mobilier,1,218.58,Entrepot Nord
C202606120051,2026-06-12,CL0326,Livre,Culture,4,23.11,Entrepot Nord
C202606120052,2026-06-12,CL0203,Chaise bureau,Mobilier,1,212.16,Entrepot Est
C202606120053,2026-06-12,CL0082,Plante verte,Maison,4,32.81,Entrepot Nord
C202606120054,2026-06-12,CL0239,Livre,Culture,2,8.47,Entrepot Sud
C202606120055,2026-06-12,CL0337,Livre,Culture,5,22.05,Entrepot Est
C202606120056,2026-06-12,CL0008,Chaise bureau,Mobilier,2,164.25,Entrepot Nord
C202606120057,2026-06-12,CL0100,Casque audio,Electronique,5,101.21,Entrepot Nord
C202606120058,2026-06-12,CL0124,Livre,Culture,1,12.28,Entrepot Nord
C202606120059,2026-06-12,CL0068,Console jeux,Electronique,3,264.84,Entrepot Nord
C202606120060,2026-06-12,CL0265,Casque audio,Electronique,3,112.33,Entrepot Sud
C202606120061,2026-06-12,CL0262,Plante verte,Maison,5,15.66,Entrepot Nord
C202606120062,2026-06-12,CL0398,Casque audio,Electronique,4,103.24,Entrepot Sud
C202606120063,2026-06-12,CL0062,Livre,Culture,2,10.41,Entrepot Sud
C202606120064,2026-06-12,CL0285,Console jeux,Electronique,1,281.5,Entrepot Sud
C202606120065,2026-06-12,CL0098,Plante verte,Maison,1,36.73,Entrepot Nord
C202606120066,2026-06-12,CL0288,Chaise bureau,Mobilier,1,206.73,Entrepot Sud
C202606120067,2026-06-12,CL0259,Casque audio,Electronique,1,78.24,Entrepot Sud
C202606120068,2026-06-12,CL0261,Console jeux,Electronique,5,249.85,Entrepot Nord
C202606120069,2026-06-12,CL0268,Console jeux,Electronique,4,326.94,Entrepot Nord
C202606120070,2026-06-12,CL0230,Chaise bureau,Mobilier,5,229.62,Entrepot Nord
C202606120071,2026-06-12,CL0038,Livre,Culture,4,10.07,Entrepot Nord
C202606120072,2026-06-12,CL0063,Livre,Culture,4,9.24,Entrepot Sud
C202606120073,2026-06-12,CL0240,Livre,Culture,3,10.43,Entrepot Est
C202606120074,2026-06-12,CL0342,Livre,Culture,1,14.77,Entrepot Nord
C202606120075,2026-06-12,CL0207,Livre,Culture,2,20.01,Entrepot Est
C202606120076,2026-06-12,CL0370,Chaise bureau,Mobilier,4,97.19,Entrepot Nord
C202606120077,2026-06-12,CL0361,Chaise bureau,Mobilier,1,124.22,Entrepot Nord
C202606120078,2026-06-12,CL0263,Casque audio,Electronique,4,69.86,Entrepot Sud
C202606120079,2026-06-12,CL0054,Casque audio,Electronique,1,118.88,Entrepot Sud
C202606120080,2026-06-12,CL0093,Casque audio,Electronique,3,65.39,Entrepot Est
C202606120081,2026-06-12,CL0347,Chaise bureau,Mobilier,2,215.76,Entrepot Est
C202606120082,2026-06-12,CL0293,Chaise bureau,Mobilier,4,88.38,Entrepot Est
C202606120083,2026-06-12,CL0353,Plante verte,Maison,3,14.5,Entrepot Nord
C202606120084,2026-06-12,CL0009,Livre,Culture,4,23.22,Entrepot Nord
C202606120085,2026-06-12,CL0035,Casque audio,Electronique,3,51.28,Entrepot Est
C202606120086,2026-06-12,CL0284,Chaise bureau,Mobilier,1,146.22,Entrepot Nord
C202606120087,2026-06-12,CL0364,Plante verte,Maison,3,29.41,Entrepot Nord
C202606120088,2026-06-12,CL0093,Livre,Culture,1,24.48,Entrepot Nord
C202606120089,2026-06-12,CL0106,Livre,Culture,3,18.69,Entrepot Sud
C202606120090,2026-06-12,CL0178,Chaise bureau,Mobilier,4,155.02,Entrepot Nord
C202606120091,2026-06-12,CL0259,Casque audio,Electronique,3,47.77,Entrepot Nord
C202606120092,2026-06-12,CL0229,Console jeux,Electronique,2,328.56,Entrepot Nord
C202606120093,2026-06-12,CL0202,Casque audio,Electronique,4,94.24,Entrepot Sud
C202606120094,2026-06-12,CL0176,Console jeux,Electronique,3,371.94,Entrepot Est
